Unnamed: 0,주소,도로명,Unnamed: 3,건축년도,건축구조,전용면적,건축면적,면적,대지면적(제곱미터)
261,부산광역시 해운대구 반여동 1576-5,재반로270번길 57-108,다세대,1996,벽돌구조,46.56,56.24,222.74,63.0
262,부산광역시 해운대구 반여동 1575-31,재반로270번길 57-110,다세대,1994,기타조적구조,49.01,110.96,439.46,127.0
263,부산광역시 해운대구 반여동 1575-27,재반로282번길 80,다세대,1993,기타조적구조,44.33,52.56,208.05,61.5
264,부산광역시 해운대구 반여동 1017-5,반여로155번길 35-53,단독주택,1980,블록구조,,81.62,81.62,151.0
265,부산광역시 해운대구 반여동 938-3,반여로167번길 40-7,단독주택,1973,블록구조,,49.58,49.58,132.0
266,부산광역시 해운대구 반여동 981-2,반여로155번가길 57,단독주택,1971,블록구조,,42.98,42.98,210.0
267,부산광역시 해운대구 반여동 868,반여로185번길 82,단독주택,1976,블록구조,,66.12,120.33,136.0
268,부산광역시 해운대구 반여동 676-2,삼어로133번길 34-19,단독주택,1974,블록구조,,51.9,51.9,175.0
269,부산광역시 해운대구 반여동 647,삼어로133번가길 19-16,단독주택,1948,목조,,0.0,76.0,339.0
270,부산광역시 해운대구 반여동 650-2,삼어로133번가길 19-26,다가구주택,1982,블록구조,,32.56,63.74,41.0
271,부산광역시 해운대구 반여동 735-37,선수촌로207번나길 20-7,단독주택,1985,벽돌구조,,81.33,81.33,140.0
272,부산광역시 해운대구 반여동 809-7,선수촌로 203-2,단독주택,1974,블록구조,,65.7,65.7,182.0
273,부산광역시 해운대구 반여동 143-11,선수촌로208번가길 35-3,단독주택,1991,벽돌구조,,0.0,222.72,143.0
274,부산광역시 해운대구 반여동 114-1,선수촌로208번가길 69-12,단독주택,1985,벽돌구조,,142.895,243.175,246.0
275,부산광역시 해운대구 반여동 239-1,선수촌로208번길 98-3,단독주택,1988,블록구조,,103.92,185.405,180.0
276,부산광역시 해운대구 반여동 245,선수촌로208번길 98-31,단독주택,1969,블록구조,,132.45,156.93,274.0
277,부산광역시 해운대구 반여동 119-5,선수촌로208번길 124-6,단독주택,1969,블록구조,,36.36,36.36,106.0
