,번호,주택구분,시도코드,시도이름,시군구코드,시군구이름,행정동코드,행정동이름,법정동코드,법정동이름,기준일자
652,652,그 외 주택,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010800,세동,2021-10-01
653,653,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010800,세동,2021-10-01
654,654,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010800,세동,2021-10-01
655,655,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010800,세동,2021-10-01
656,656,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010800,세동,2021-10-01
657,658,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010900,송정동,2021-10-01
658,659,그 외 주택,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010900,송정동,2021-10-01
659,660,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010900,송정동,2021-10-01
660,661,그 외 주택,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010900,송정동,2021-10-01
661,662,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010900,송정동,2021-10-01
662,663,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010900,송정동,2021-10-01
663,664,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010900,송정동,2021-10-01
664,665,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010900,송정동,2021-10-01
665,666,그 외 주택,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010900,송정동,2021-10-01
666,667,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010900,송정동,2021-10-01
667,668,그 외 주택,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010900,송정동,2021-10-01
668,669,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011000,방동,2021-10-01
669,670,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011000,방동,2021-10-01
670,671,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011000,방동,2021-10-01
671,672,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011000,방동,2021-10-01
672,673,그 외 주택,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011000,방동,2021-10-01
673,674,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011000,방동,2021-10-01
674,675,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011000,방동,2021-10-01
675,676,그 외 주택,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011000,방동,2021-10-01
676,677,그 외 주택,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011000,방동,2021-10-01
677,678,그 외 주택,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동,2021-10-01
